Year,Value,Category,Metric,Statistic
2000,5.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2000,175,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2000,328,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2000,13.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,1594,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,3177,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2001,7.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,648,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,1566,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2001,8.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,460,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,975,Business,Reason for Journey,Visitors to Ireland (Thousand)
2001,5.9,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,191,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,273,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2001,16.5,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,1696,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,3242,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2002,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,675,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,1603,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2002,8.1,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,445,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,906,Business,Reason for Journey,Visitors to Ireland (Thousand)
2002,5.9,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
